ID,Allocentric Before Turn,Egocentric Turn Type,Allocentric After Turn,Timestamp Entry,Timestamp Exit,Alley Exited,Intersection,Alley Entered
259,4,1,4,2836488551,2838690848,12,F,1
260,4,2,1,2862614563,2862780436,1,E,2
261,1,2,2,2863649215,2863748953,2,A,0
262,2,1,2,2864517586,2864750069,0,B,4
263,2,1,2,2865483943,2865685009,4,C,6
264,2,2,3,2866619935,2871055658,6,D,7
265,3,1,3,2874158457,2874460277,7,H,9
266,3,2,4,2881467294,2881565675,9,L,10
267,4,1,4,2882000846,2882267963,10,K,13
268,4,1,4,2883468230,2883802026,13,J,15
269,2,4,1,2884368926,2884570159,15,J,14
270,1,1,1,2885003152,2885269973,14,F,3
271,3,4,2,2886304846,2886538557,3,F,12
272,4,4,3,2895180483,2895714090,12,F,14
273,3,2,4,2898149744,2898783835,14,J,15
274,4,2,1,2899652207,2899752391,15,I,16
275,1,1,1,2900052559,2900217264,16,E,2
276,1,2,2,2901020206,2901086964,2,A,0
277,2,1,2,2901520174,2901719689,0,B,4
278,2,1,2,2913532038,2913799204,4,C,6
279,2,2,3,2914632909,2914833900,6,D,7
280,3,1,3,2915801183,2916034606,7,H,9
281,1,4,4,2916499976,2916635071,9,H,8
282,4,2,1,2922776073,2923008786,8,G,5
283,1,2,2,2924042513,2924209352,5,C,6
284,2,2,3,2925478120,2925709610,6,D,7
285,3,1,3,2926545029,2926844302,7,H,9
286,3,2,4,2928012823,2928113681,9,L,10
287,4,1,4,2928613683,2928880556,10,K,13
288,4,1,4,2930816057,2931315444,13,J,15
289,4,2,1,2932183355,2932284255,15,I,16
290,1,1,1,2932585996,2932784597,16,E,2
291,1,2,2,2933551565,2933585971,2,A,0
292,2,1,2,2934319737,2934552962,0,B,4
293,2,3,4,2937722874,2938591290,4,C,4
294,2,1,2,2948600315,2948899621,4,C,6
295,2,2,3,2949701747,2949901495,6,D,7
296,3,2,4,2950669628,2951102822,7,H,8
297,4,1,4,2954206907,2954505783,8,G,12
298,4,1,4,2955840897,2961379929,12,F,1
299,4,2,1,2974359614,2974427554,1,E,2
300,1,2,2,2975360687,2975459307,2,A,0
301,2,1,2,2975795207,2975994834,0,B,4
302,2,1,2,2976629220,2976929440,4,C,6
303,2,2,3,2985370498,2985538082,6,D,7
304,3,1,3,2986404967,2986772926,7,H,9
305,3,2,4,2987639889,2987739746,9,L,10
306,4,1,4,2988707979,2988974580,10,K,13
307,2,4,1,2990074322,2990276312,13,K,11
308,1,2,2,2990810092,2991144070,11,G,8
